,Variable Name,LB,UB
0,"compute_time[('productpage_v1#0#start',_'productpage_v1#0#end')]",0.0,1000000.0
1,"compute_time[('productpage_v1#1#start',_'productpage_v1#1#end')]",0.0,1000000.0
2,"load_for_compute_edge[('productpage_v1#0#start',_'productpage_v1#0#end')]",0.0,15000.0
3,"load_for_compute_edge[('productpage_v1#1#start',_'productpage_v1#1#end')]",0.0,15000.0
4,"compute_time[('details_v1#0#start',_'details_v1#0#end')]",0.0,1000000.0
5,"compute_time[('details_v1#1#start',_'details_v1#1#end')]",0.0,1000000.0
6,"load_for_compute_edge[('details_v1#0#start',_'details_v1#0#end')]",0.0,15000.0
7,"load_for_compute_edge[('details_v1#1#start',_'details_v1#1#end')]",0.0,15000.0
8,"compute_time[('reviews_v2#0#start',_'reviews_v2#0#end')]",0.0,1000000.0
9,"compute_time[('reviews_v2#1#start',_'reviews_v2#1#end')]",0.0,1000000.0
10,"load_for_compute_edge[('reviews_v2#0#start',_'reviews_v2#0#end')]",0.0,15000.0
11,"load_for_compute_edge[('reviews_v2#1#start',_'reviews_v2#1#end')]",0.0,15000.0
12,"compute_time[('ratings_v1#0#start',_'ratings_v1#0#end')]",0.0,1000000.0
13,"compute_time[('ratings_v1#1#start',_'ratings_v1#1#end')]",0.0,1000000.0
14,"load_for_compute_edge[('ratings_v1#0#start',_'ratings_v1#0#end')]",0.0,15000.0
15,"load_for_compute_edge[('ratings_v1#1#start',_'ratings_v1#1#end')]",0.0,15000.0
16,"pipe.col_trans.std_scaler.out[0,0]",-inf,inf
17,"pipe.col_trans.std_scaler.out[1,0]",-inf,inf
18,"pipe0.col_trans.std_scaler.out[0,0]",-inf,inf
19,"pipe0.col_trans.std_scaler.out[1,0]",-inf,inf
20,"pipe1.col_trans.std_scaler.out[0,0]",-inf,inf
21,"pipe1.col_trans.std_scaler.out[1,0]",-inf,inf
22,"pipe2.col_trans.std_scaler.out[0,0]",-inf,inf
23,"pipe2.col_trans.std_scaler.out[1,0]",-inf,inf
24,"network_latency[('details_v1#0#end',_'dst____#_#_')]",0.0,0.0
25,"network_latency[('details_v1#1#end',_'dst____#_#_')]",0.0,0.0
26,"network_latency[('src____#_#_',_'productpage_v1#0#start')]",0.0,0.0
27,"network_latency[('productpage_v1#0#end',_'details_v1#0#start')]",0.5,0.5
28,"network_latency[('productpage_v1#0#end',_'details_v1#1#start')]",40.0,40.0
29,"network_latency[('src____#_#_',_'productpage_v1#1#start')]",0.0,0.0
30,"network_latency[('productpage_v1#1#end',_'details_v1#0#start')]",40.0,40.0
31,"network_latency[('productpage_v1#1#end',_'details_v1#1#start')]",0.5,0.5
32,"network_latency[('productpage_v1#0#end',_'reviews_v2#0#start')]",0.5,0.5
33,"network_latency[('productpage_v1#0#end',_'reviews_v2#1#start')]",40.0,40.0
34,"network_latency[('productpage_v1#1#end',_'reviews_v2#0#start')]",40.0,40.0
35,"network_latency[('productpage_v1#1#end',_'reviews_v2#1#start')]",0.5,0.5
36,"network_latency[('ratings_v1#0#end',_'dst____#_#_')]",0.0,0.0
37,"network_latency[('ratings_v1#1#end',_'dst____#_#_')]",0.0,0.0
38,"network_latency[('reviews_v2#0#end',_'ratings_v1#0#start')]",0.5,0.5
39,"network_latency[('reviews_v2#0#end',_'ratings_v1#1#start')]",40.0,40.0
40,"network_latency[('reviews_v2#1#end',_'ratings_v1#0#start')]",40.0,40.0
41,"network_latency[('reviews_v2#1#end',_'ratings_v1#1#start')]",0.5,0.5
42,"load_for_network_edge[('details_v1#0#end',_'dst____#_#_')]",0.0,15000.0
43,"load_for_network_edge[('details_v1#1#end',_'dst____#_#_')]",0.0,15000.0
44,"load_for_network_edge[('src____#_#_',_'productpage_v1#0#start')]",0.0,15000.0
45,"load_for_network_edge[('productpage_v1#0#end',_'details_v1#0#start')]",0.0,15000.0
46,"load_for_network_edge[('productpage_v1#0#end',_'details_v1#1#start')]",0.0,15000.0
47,"load_for_network_edge[('src____#_#_',_'productpage_v1#1#start')]",0.0,15000.0
48,"load_for_network_edge[('productpage_v1#1#end',_'details_v1#0#start')]",0.0,15000.0
49,"load_for_network_edge[('productpage_v1#1#end',_'details_v1#1#start')]",0.0,15000.0
50,"load_for_network_edge[('productpage_v1#0#end',_'reviews_v2#0#start')]",0.0,15000.0
51,"load_for_network_edge[('productpage_v1#0#end',_'reviews_v2#1#start')]",0.0,15000.0
52,"load_for_network_edge[('productpage_v1#1#end',_'reviews_v2#0#start')]",0.0,15000.0
53,"load_for_network_edge[('productpage_v1#1#end',_'reviews_v2#1#start')]",0.0,15000.0
54,"load_for_network_edge[('ratings_v1#0#end',_'dst____#_#_')]",0.0,15000.0
55,"load_for_network_edge[('ratings_v1#1#end',_'dst____#_#_')]",0.0,15000.0
56,"load_for_network_edge[('reviews_v2#0#end',_'ratings_v1#0#start')]",0.0,15000.0
57,"load_for_network_edge[('reviews_v2#0#end',_'ratings_v1#1#start')]",0.0,15000.0
58,"load_for_network_edge[('reviews_v2#1#end',_'ratings_v1#0#start')]",0.0,15000.0
59,"load_for_network_edge[('reviews_v2#1#end',_'ratings_v1#1#start')]",0.0,15000.0
60,"network_egress_cost[('details_v1#0#end',_'dst____#_#_')]",0.0,0.0
61,"network_egress_cost[('details_v1#1#end',_'dst____#_#_')]",0.0,0.0
62,"network_egress_cost[('src____#_#_',_'productpage_v1#0#start')]",0.0,0.0
63,"network_egress_cost[('productpage_v1#0#end',_'details_v1#0#start')]",0.0,0.0
64,"network_egress_cost[('productpage_v1#0#end',_'details_v1#1#start')]",10.0,10.0
65,"network_egress_cost[('src____#_#_',_'productpage_v1#1#start')]",0.0,0.0
66,"network_egress_cost[('productpage_v1#1#end',_'details_v1#0#start')]",10.0,10.0
67,"network_egress_cost[('productpage_v1#1#end',_'details_v1#1#start')]",0.0,0.0
68,"network_egress_cost[('productpage_v1#0#end',_'reviews_v2#0#start')]",0.0,0.0
69,"network_egress_cost[('productpage_v1#0#end',_'reviews_v2#1#start')]",10.0,10.0
70,"network_egress_cost[('productpage_v1#1#end',_'reviews_v2#0#start')]",10.0,10.0
71,"network_egress_cost[('productpage_v1#1#end',_'reviews_v2#1#start')]",0.0,0.0
72,"network_egress_cost[('ratings_v1#0#end',_'dst____#_#_')]",0.0,0.0
73,"network_egress_cost[('ratings_v1#1#end',_'dst____#_#_')]",0.0,0.0
74,"network_egress_cost[('reviews_v2#0#end',_'ratings_v1#0#start')]",0.0,0.0
75,"network_egress_cost[('reviews_v2#0#end',_'ratings_v1#1#start')]",10.0,10.0
76,"network_egress_cost[('reviews_v2#1#end',_'ratings_v1#0#start')]",10.0,10.0
77,"network_egress_cost[('reviews_v2#1#end',_'ratings_v1#1#start')]",0.0,0.0
78,"compute_egress_cost[('productpage_v1#0#start',_'productpage_v1#0#end')]",0.0,0.0
79,"compute_egress_cost[('productpage_v1#1#start',_'productpage_v1#1#end')]",0.0,0.0
80,"compute_egress_cost[('details_v1#0#start',_'details_v1#0#end')]",0.0,0.0
81,"compute_egress_cost[('details_v1#1#start',_'details_v1#1#end')]",0.0,0.0
82,"compute_egress_cost[('reviews_v2#0#start',_'reviews_v2#0#end')]",0.0,0.0
83,"compute_egress_cost[('reviews_v2#1#start',_'reviews_v2#1#end')]",0.0,0.0
84,"compute_egress_cost[('ratings_v1#0#start',_'ratings_v1#0#end')]",0.0,0.0
85,"compute_egress_cost[('ratings_v1#1#start',_'ratings_v1#1#end')]",0.0,0.0
